# Created by Octave 5.1.0, Fri Sep 17 15:07:15 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
7.8222689755184681e-14


# name: H
# type: complex matrix
# rows: 20
# columns: 20


# name: N
# type: scalar
20


# name: argn
# type: sq_string
# elements: 1
# length: 1
x


# name: defect
# type: scalar
0


# name: info
# type: complex matrix
# rows: 1
# columns: 19
 (-9.9920072216264089e-16,0) (-7.6327832942979512e-17,0) (2.2204460492503131e-16,-4.4408920985006262e-16) (-3.3306690738754696e-16,3.3306690738754696e-16) (1.6653345369377348e-16,-7.7715611723760958e-16) (-1.1102230246251565e-16,-6.6613381477509392e-16) (-3.3306690738754696e-16,-4.4408920985006262e-16) (-3.3306690738754696e-16,6.6613381477509392e-16) (-1.9428902930940239e-16,0) (6.6613381477509392e-16,7.1123662515049091e-17) (0,-7.2164496600635175e-16) (-1.1102230246251565e-16,0) (5.134781488891349e-16,-3.3306690738754696e-16) (-4.4408920985006262e-16,-3.8857805861880479e-16) (4.4408920985006262e-16,-1.1102230246251565e-16) (-4.4408920985006262e-16,2.3314683517128287e-15) (-3.3306690738754696e-16,-5.5511151231257827e-16) (9.9920072216264089e-16,3.8857805861880479e-16) (4.4408920985006262e-16,1.2212453270876722e-15)


# name: is_convergent
# type: scalar
1.3562153471399261e-14


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 20
 1.8228567841022381 1.8228567841022392 1.8228567841022387 1.8228567841022381 1.8228567841022383 1.8228567841022383 1.8228567841022374 1.8228567841022383 1.8228567841022389 1.8228567841022385 1.8228567841022378 1.8228567841022378 1.8228567841022387 1.8228567841022381 1.8228567841022381 1.8228567841022387 1.8228567841022387 1.8228567841022387 1.8228567841022383 1.8228567841022385


# name: spectrum
# type: scalar
4.4721359549995778


# name: x
# type: complex matrix
# rows: 1
# columns: 20
 (0.56623246586640197,1.73268221262481) (-1.7422828896884202,-0.53596379322350263) (1.3953748841552156,-1.1729176390592708) (0.83749484579146449,1.6190766623666355) (1.7913537202584249,0.337429554520429) (1.1864177872383364,1.3839146250661722) (1.7870102539281372,-0.35972379362956525) (-0.82181935335931311,-1.6270893662585453) (-1.5544633036921529,-0.95207704143206506) (-0.55827473864162958,1.7352625655912062) (1.2856291379099876,-1.292271091955699) (-0.73130101708730022,-1.6697322173793716) (1.6917747586877938,0.67875254785113881) (-0.18131825177390651,-1.8138165692597494) (1.4580435391036242,-1.0940365137534174) (1.4815287319100194,-1.0620167003737018) (-1.7081943358686977,0.63630100287022495) (1.0787461169832135,-1.4693922792914065) (1.2554881395529252,1.3215734511518795) (-0.5845126371218522,1.7266012372265962)


# name: x0
# type: complex matrix
# rows: 1
# columns: 20
 (0.56623246586640197,1.73268221262481) (-1.7422828896884202,-0.53596379322350263) (1.3953748841552156,-1.1729176390592708) (0.83749484579146449,1.6190766623666355) (1.7913537202584249,0.337429554520429) (1.1864177872383364,1.3839146250661722) (1.7870102539281372,-0.35972379362956525) (-0.82181935335931311,-1.6270893662585453) (-1.5544633036921529,-0.95207704143206506) (-0.55827473864162958,1.7352625655912062) (1.2856291379099876,-1.292271091955699) (-0.73130101708730022,-1.6697322173793716) (1.6917747586877938,0.67875254785113881) (-0.18131825177390651,-1.8138165692597494) (1.4580435391036242,-1.0940365137534174) (1.4815287319100194,-1.0620167003737018) (-1.7081943358686977,0.63630100287022495) (1.0787461169832135,-1.4693922792914065) (1.2554881395529252,1.3215734511518795) (-0.5845126371218522,1.7266012372265962)


