# Created by Octave 5.1.0, Fri Sep 17 15:04:25 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.2520607516757841e-14


# name: H
# type: complex matrix
# rows: 16
# columns: 16
 1.7451006081188059 1.7451006081188061 1.7451006081188063 1.7451006081188061 1.7451006081188061 1.7451006081188061 1.7451006081188061 1.7451006081188065 1.7451006081188061 1.7451006081188063 1.7451006081188061 1.7451006081188063 1.7451006081188065 1.7451006081188061 1.7451006081188065 1.7451006081188065


# name: spectrum
# type: scalar
4


# name: x
# type: complex matrix
# rows: 1
# columns: 16
 (-0.41198901156514783,1.6957715609144408) (-1.6922660739936575,0.42615920413235298) (-0.17374011949946802,1.7364303911567944) (-0.89527275338580181,1.4979528795999) (-0.095317375199737431,-1.7424955467494485) (-1.5953367617825516,-0.70730244518295682) (-1.6003723708662465,0.69583360584594967) (1.3410673019190142,-1.1166533142297494) (-1.7424955467494485,0.095317375199737334) (1.7213878414535102,0.28670547911167016) (0.17374011949946835,-1.7364303911567942) (1.4199364042270508,-1.0144736272606503) (-1.6957715609144413,-0.41198901156514778) (-1.7378709139407702,-0.15868465248819405) (-1.226303100891492,-1.2415944737314752) (1.6282117978713251,-0.62793508719393509)


# name: x0
# type: complex matrix
# rows: 1
# columns: 16
 (-0.41198901156514783,1.6957715609144408) (-1.6922660739936575,0.42615920413235298) (-0.17374011949946802,1.7364303911567944) (-0.89527275338580181,1.4979528795999) (-0.095317375199737431,-1.7424955467494485) (-1.5953367617825516,-0.70730244518295682) (-1.6003723708662465,0.69583360584594967) (1.3410673019190142,-1.1166533142297494) (-1.7424955467494485,0.095317375199737334) (1.7213878414535102,0.28670547911167016) (0.17374011949946835,-1.7364303911567942) (1.4199364042270508,-1.0144736272606503) (-1.6957715609144413,-0.41198901156514778) (-1.7378709139407702,-0.15868465248819405) (-1.226303100891492,-1.2415944737314752) (1.6282117978713251,-0.62793508719393509)


